,missing_count,missing_pct
co2_price,7749,16.8424
pumped_storage_capacity,676,1.4693
lignite_capacity,676,1.4693
hard_coal_capacity,676,1.4693
gas_capacity,676,1.4693
solar_capacity,676,1.4693
wind_offshore_capacity,676,1.4693
wind_onshore_capacity,676,1.4693
wind_onshore_actual_entsoe_lag_168h,168,0.3651
load_actual_entsoe_lag_168h,168,0.3651
solar_forecast_id_entsoe_lag_168h,166,0.3608
residual_load_forecast_lag_168h,166,0.3608
renewable_share_forecast_lag_168h,166,0.3608
afrr_activation_price_vwap_pos_lag_168h,166,0.3608
wind_offshore_forecast_id_entsoe_lag_168h,166,0.3608
afrr_activation_price_vwap_neg_lag_168h,166,0.3608
da_spread_de_at_lag_168h,166,0.3608
da_spread_de_nl_lag_168h,166,0.3608
da_price_pit_lag_168h,166,0.3608
da_spread_de_fr_lag_168h,166,0.3608
afrr_da_price_spread_lag_168h,166,0.3608
wind_onshore_forecast_id_entsoe_lag_168h,166,0.3608
da_price_lag_168h,166,0.3608
afrr_activation_offered_mw_neg_lag_24h,70,0.1521
afrr_activation_offered_mw_pos_lag_24h,70,0.1521
afrr_activation_offered_mw_neg_lag_12h,58,0.1261
afrr_activation_offered_mw_pos_lag_12h,58,0.1261
afrr_activation_offered_mw_pos_lag_6h,52,0.113
afrr_activation_offered_mw_neg_lag_6h,52,0.113
afrr_activation_offered_mw_pos_lag_1h,51,0.1108
afrr_activation_offered_mw_neg_lag_1h,51,0.1108
afrr_activation_offered_mw_pos_lag_3h,50,0.1087
afrr_activation_offered_mw_neg_lag_2h,50,0.1087
afrr_activation_offered_mw_neg_lag_3h,50,0.1087
afrr_activation_offered_mw_pos_lag_2h,50,0.1087
wind_onshore_actual_entsoe_lag_48h,48,0.1043
load_actual_entsoe_lag_48h,48,0.1043
afrr_activation_price_vwap_pos_lag_48h,46,0.1
afrr_da_price_spread_lag_48h,46,0.1
da_spread_de_at_lag_48h,46,0.1
da_spread_de_nl_lag_48h,46,0.1
da_spread_de_fr_lag_48h,46,0.1
da_price_lag_48h,46,0.1
wind_onshore_forecast_id_entsoe_lag_48h,46,0.1
afrr_activation_price_vwap_neg_lag_48h,46,0.1
residual_load_forecast_lag_48h,46,0.1
renewable_share_forecast_lag_48h,46,0.1
da_price_pit_lag_48h,46,0.1
solar_forecast_id_entsoe_lag_48h,46,0.1
wind_offshore_forecast_id_entsoe_lag_48h,46,0.1
gas_price,45,0.0978
wind_total_error_da_lag_24h,25,0.0543
load_actual_entsoe_lag_24h,24,0.0522
load_actual_entsoe_diff24,24,0.0522
afrr_activated_mw_neg_lag_24h,24,0.0522
afrr_activated_mw_pos_lag_24h,24,0.0522
wind_onshore_actual_entsoe_lag_24h,24,0.0522
load_mae_rolling_72h,24,0.0522
mfrr_activated_mw_neg_lag_24h,23,0.05
coal_price,23,0.05
da_price_volatility_30d,23,0.05
NRV_balance_lag_24h,23,0.05
afrr_activation_price_vwap_pos_lag_24h,23,0.05
afrr_activation_price_vwap_neg_lag_24h,23,0.05
afrr_activation_rate_lag_24h,23,0.05
mfrr_activated_mw_pos_lag_24h,23,0.05
nrv_quantile_5_lag_24h,22,0.0478
wind_forecast_update_lag_24h,22,0.0478
grid_stress_index_lag_24h,22,0.0478
wind_onshore_forecast_update_lag_24h,22,0.0478
da_price_pit_lag_24h,22,0.0478
is_activated_lag_24h,22,0.0478
nrv_zscore_24h_lag_24h,22,0.0478
da_price_lag_24h,22,0.0478
afrr_da_price_spread_lag_24h,22,0.0478
da_price_diff24,22,0.0478
mfrr_active_lag_lag_24h,22,0.0478
renewable_share_forecast_lag_24h,22,0.0478
system_stress_signal_lag_24h,22,0.0478
solar_error_da_lag_24h,22,0.0478
solar_forecast_update_lag_24h,22,0.0478
residual_load_forecast_lag_24h,22,0.0478
da_spread_de_at_lag_24h,22,0.0478
wind_offshore_forecast_id_entsoe_lag_24h,22,0.0478
da_spread_de_nl_lag_24h,22,0.0478
solar_forecast_id_entsoe_lag_24h,22,0.0478
mfrr_mari_net_mw_lag_24h,22,0.0478
wind_onshore_error_da_lag_24h,22,0.0478
da_spread_de_fr_lag_24h,22,0.0478
wind_onshore_forecast_id_entsoe_lag_24h,22,0.0478
da_price_BE,20,0.0435
wind_total_error_da_lag_12h,13,0.0283
mfrr_activated_mw_neg_lag_12h,11,0.0239
afrr_activated_mw_pos_lag_12h,11,0.0239
afrr_activated_mw_neg_lag_12h,11,0.0239
mfrr_activated_mw_pos_lag_12h,11,0.0239
NRV_balance_lag_12h,11,0.0239
wind_onshore_error_da_lag_12h,10,0.0217
solar_forecast_update_lag_12h,10,0.0217
is_activated_lag_12h,10,0.0217
mfrr_mari_net_mw_lag_12h,10,0.0217
mfrr_active_lag_lag_12h,10,0.0217
afrr_activation_rate_lag_12h,10,0.0217
afrr_activation_price_vwap_neg_lag_12h,10,0.0217
solar_error_da_lag_12h,10,0.0217
afrr_da_price_spread_lag_12h,10,0.0217
nrv_zscore_24h_lag_12h,10,0.0217
nrv_quantile_5_lag_12h,10,0.0217
afrr_activation_price_vwap_pos_lag_12h,10,0.0217
grid_stress_index_lag_12h,10,0.0217
wind_onshore_forecast_update_lag_12h,10,0.0217
system_stress_signal_lag_12h,10,0.0217
wind_forecast_update_lag_12h,10,0.0217
da_price_pit_lag_12h,10,0.0217
wind_total_error_da_lag_6h,7,0.0152
NRV_balance_lag_6h,5,0.0109
afrr_activated_mw_neg_lag_6h,5,0.0109
mfrr_activated_mw_neg_lag_6h,5,0.0109
afrr_activated_mw_pos_lag_6h,5,0.0109
mfrr_activated_mw_pos_lag_6h,5,0.0109
afrr_da_price_spread_lag_6h,4,0.0087
afrr_activation_price_vwap_pos_lag_6h,4,0.0087
afrr_activation_price_vwap_neg_lag_6h,4,0.0087
mfrr_mari_net_mw_lag_6h,4,0.0087
afrr_activation_rate_lag_6h,4,0.0087
grid_stress_index_lag_6h,4,0.0087
system_stress_signal_lag_6h,4,0.0087
is_activated_lag_6h,4,0.0087
mfrr_active_lag_lag_6h,4,0.0087
nrv_zscore_24h_lag_6h,4,0.0087
da_price_pit_lag_6h,4,0.0087
nrv_quantile_5_lag_6h,4,0.0087
wind_onshore_error_da_lag_6h,4,0.0087
wind_forecast_update_lag_6h,4,0.0087
wind_onshore_forecast_update_lag_6h,4,0.0087
solar_forecast_update_lag_6h,4,0.0087
wind_total_error_da_lag_3h,4,0.0087
solar_error_da_lag_6h,4,0.0087
wind_total_error_da_lag_1h,4,0.0087
afrr_activated_mw_pos_lag_1h,3,0.0065
afrr_activated_mw_pos_lag_3h,3,0.0065
afrr_activated_mw_pos_lag_2h,3,0.0065
afrr_activated_mw_neg_lag_2h,3,0.0065
afrr_activated_mw_neg_lag_3h,3,0.0065
mfrr_activated_mw_pos_lag_2h,3,0.0065
mfrr_activated_mw_pos_lag_3h,3,0.0065
wind_onshore_actual_entsoe_std_168h_lag_2h,3,0.0065
wind_onshore_actual_entsoe_std_24h_lag_2h,3,0.0065
mfrr_mari_net_mw_lag_1h,3,0.0065
afrr_activated_mw_neg_lag_1h,3,0.0065
mfrr_activated_mw_neg_lag_3h,3,0.0065
mfrr_activated_mw_neg_lag_2h,3,0.0065
mfrr_activated_mw_pos_lag_1h,3,0.0065
mfrr_activated_mw_neg_lag_1h,3,0.0065
afrr_capacity_offered_mw_neg_lag_1h,3,0.0065
afrr_capacity_offered_mw_pos_lag_1h,3,0.0065
afrr_capacity_awarded_mw_pos_lag_1h,3,0.0065
afrr_capacity_awarded_mw_neg_lag_1h,3,0.0065
wind_total_error_da_lag_2h,3,0.0065
NRV_balance_lag_4h,3,0.0065
NRV_balance_lag_3h,2,0.0043
mfrr_mari_net_mw_lag_2h,2,0.0043
nrv_quantile_5_lag_4h,2,0.0043
mfrr_mari_net_mw_lag_3h,2,0.0043
nrv_zscore_24h_lag_4h,2,0.0043
wind_onshore_actual_entsoe_mean_24h_lag_2h,2,0.0043
afrr_capacity_offered_mw_pos_lag_2h,2,0.0043
